glossary,description,link
Systems Thinking,"
                  Systems Thinking is a holistic approach that incorporates all aspects of a system and its environment into its design, development, deployment, and maintenance.                ",
TOWS Analysis,"
                  TOWS Analysis is a thinking tool used in conjunction with a SWOT analysis to help identify strategic options for evolving a SAFe portfolio.                ",
Team Backlog,"
                  The Team Backlog is a Kanban system that is used to capture and manage the user stories and enablers intended to enhance the solution.                ",https://scaledagileframework.com/team-backlog/
Team Flow,"
                  Team Flow describes a state in which Agile teams deliver a continuous flow of value to the customer.                ",https://scaledagileframework.com/team-flow
Team Sync,"
                  The Team Sync is a short meeting (usually 15 minutes or less), typically held about daily, to inspect progress toward the team goals, communicate, and adjust upcoming planned work.                ",
Team Topologies,"
                  Team Topologies describes four organizational patterns that can be used for organizing Agile teams and ARTs.                ",
Team and Technical Agility (TTA),"
                  The Team and Technical Agility (TTA) competency describes the critical skills, principles, and practices that high-performing Agile teams on an Agile Release Train use to create high-quality solutions for their customers.                ",https://scaledagileframework.com/team-and-technical-agility/
Test-Driven Development (TDD),"
                  Test-Driven Development (TDD) is a mindset and practice that builds and executes tests before implementing the code for a component or system.                ",
U-curve Optimization,"
                  U-curve Optimization determines the optimal batch size by finding the point where the total of transaction costs and holding costs is the lowest.                ",
Value Management Office (VMO),"
                  The Value Management Office (VMO) is an organizational function responsible for facilitating the Lean Portfolio Management process and for fostering operational excellence and lean governance as part of a Lean-Agile transformation.                ",
Value Stream,"
                  
A Value Stream is the sequence of activities that contains all the people, systems, information, and materials needed to deliver value to a customer.
                ",
Value Stream Coordination,"
                  Value Stream Coordination describes how to manage dependencies between value streams and exploit the opportunities that exist in the interconnections.                ",https://scaledagileframework.com/value-stream-coordination/
Value Stream Identification,"
                  Value Stream Identification is an activity used to identify development value streams and the operational value streams they support.                ",
Value Stream KPIs,"
                  Value Stream Key Performance Indicators (KPIs) are the quantifiable measures used to evaluate how a value stream performs against its business objectives.                ",https://scaledagileframework.com/value-stream-kpis/
Value Stream Management (VSM),"
                  Value Stream Management (VSM) is a leadership and technical discipline that enables the maximum flow of business value through the end-to-end solution delivery life cycle.                ",https://scaledagileframework.com/value-stream-management/
Value Stream Mapping,"
                  Value Stream Mapping is an activity used to identify the individual steps in a workflow and the delays between steps.                ",
Value Streamlet,"
                  A Value Streamlet is a smaller, largely independent value flow within a development value stream that delivers value according to customer needs and pace.                ",
Verification and validation (V&V),"
                  Verification and validation (V&V) are processes used to assure a product, service, or system is designed in accordance with the solution intent and is fit for its intended purpose.                ",
Weighted Shortest Job First (WSJF),"
                  Weighted Shortest Job First (WSJF) is a prioritization model used to sequence work for maximum economic benefit. In SAFe, WSJF is estimated as the relative cost of delay divided by the relative job duration.                ",https://scaledagileframework.com/wsjf/
Work in Process,"
                  Work in Process (WIP) represents the total active work items in a system.                ",
